log_time,steering_angle_enable,steering_angle,target_acceleration_enable,target_acceleration,indicator_left_enable,indicator_left,indicator_right_enable,indicator_right,gear_position_enable,gear_position,ebrake_status_enable,ebrake_status,lane_change,timestamp,mqtt_send_timestamp
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869910,1756881869910
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869920,1756881869920
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869930,1756881869930
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869940,1756881869940
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869950,1756881869950
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869960,1756881869960
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869970,1756881869970
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869980,1756881869980
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869990,1756881869990
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870000,1756881870000
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870010,1756881870010
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870020,1756881870020
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870030,1756881870030
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870040,1756881870040
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870050,1756881870050
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870060,1756881870060
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870070,1756881870070
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870080,1756881870080
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870090,1756881870090
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870100,1756881870100
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870110,1756881870110
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870120,1756881870120
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870130,1756881870130
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870140,1756881870140
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870150,1756881870150
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870160,1756881870160
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870170,1756881870170
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870180,1756881870180
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870190,1756881870190
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870200,1756881870200
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870210,1756881870210
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870220,1756881870220
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870230,1756881870230
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870240,1756881870240
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870250,1756881870250
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870260,1756881870260
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870270,1756881870270
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870280,1756881870280
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870290,1756881870290
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870301,1756881870301
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870311,1756881870311
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870321,1756881870321
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870331,1756881870331
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870341,1756881870341
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870351,1756881870351
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870361,1756881870361
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870371,1756881870371
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870381,1756881870381
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870391,1756881870391
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870401,1756881870401
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870411,1756881870411
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870421,1756881870421
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870431,1756881870431
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870441,1756881870441
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870451,1756881870451
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870461,1756881870461
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870471,1756881870471
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870481,1756881870481
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870491,1756881870491
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870501,1756881870501
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870511,1756881870511
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870521,1756881870521
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870531,1756881870531
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870541,1756881870541
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870551,1756881870551
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870561,1756881870561
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870571,1756881870571
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870581,1756881870581
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870591,1756881870591
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870601,1756881870601
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870611,1756881870611
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870621,1756881870621
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870631,1756881870631
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870641,1756881870641
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870651,1756881870651
14:44:30,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881870661,1756881870661
