log_time,steering_angle_enable,steering_angle,target_acceleration_enable,target_acceleration,indicator_left_enable,indicator_left,indicator_right_enable,indicator_right,gear_position_enable,gear_position,ebrake_status_enable,ebrake_status,lane_change,timestamp,mqtt_send_timestamp
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153758
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153768
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153778
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153788
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153798
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153808
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153818
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153828
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153838
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153848
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153858
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153868
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153878
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153888
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153898
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153908
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153918
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153928
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153938
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153948
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153958
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153968
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153978
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153988
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153998
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154008
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154018
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154028
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154038
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154048
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154058
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154068
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154078
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154088
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154098
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154108
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154118
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154128
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154138
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154148
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154158
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154168
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154178
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154188
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154198
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154208
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154218
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154228
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154238
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154248
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154258
